pid,draft_year,report_agent_named_in_listing,report_camp_invited,report_catchshoot_fg_pct,report_catchshoot_fga_pg,report_catchshoot_poss_pg,report_catchshoot_ppp,report_catchshoot_pps,report_cut_fg_pct,report_cut_poss_pct,report_cut_poss_pg,report_cut_ppp,report_finish_fga_pg,report_finish_poss_pg,report_finish_ppp,report_finish_pps,report_free_throw_poss_pct,report_guarded_catchshoot_ppp,report_guarded_catchshoot_pps,report_halfcourt_poss_pg,report_halfcourt_ppp,report_halfcourt_shots_fouled_pct,report_halfcourt_turnover_pct,report_isolation_fg_pct,report_isolation_poss_pct,report_isolation_poss_pg,report_isolation_poss_total,report_isolation_ppp,report_isolation_shots_fouled_pct,report_isolation_turnover_pct,report_jump_fg_pct,report_jump_fga_pg,report_jump_fga_total,report_jump_fgm_total,report_jump_poss_pct,report_jump_ppp,report_jump_pps,report_jump_shot_pct,report_listed_testing_waters,report_listed_withdrawn,report_media_invited,report_offscreen_poss_pg,report_offscreen_ppp,report_open_catchshoot_fg_pct,report_open_catchshoot_ppp,report_open_catchshoot_pps,report_overall_ppp,report_physical_only_invited,report_pickroll_finish_poss_pg,report_pickroll_finish_ppp,report_pickroll_poss_pct,report_pickroll_poss_pg,report_pickroll_ppp,report_poss_pg,report_post_fg_pct,report_post_poss_pct,report_post_poss_pg,report_post_ppp,report_post_turnover_pct,report_pullup_fg_pct,report_pullup_fga_pg,report_pullup_fga_total,report_pullup_fgm_total,report_pullup_ppp,report_pullup_pps,report_putback_poss_pct,report_putback_poss_pg,report_putback_ppp,report_rim_fg_pct,report_same_agent_listed_client_count,report_scoring_poss_pct,report_shots_fouled_pct,report_spotup_fga_pg,report_spotup_poss_pct,report_spotup_ppp,report_text_athleticism_per1k,report_text_catchshoot_per1k,report_text_creation_per1k,report_text_decisions_per1k,report_text_defense_per1k,report_text_development_per1k,report_text_efficiency_per1k,report_text_effort_per1k,report_text_finishing_per1k,report_text_injury_per1k,report_text_length_per1k,report_text_limitations_per1k,report_text_passing_per1k,report_text_pickroll_per1k,report_text_pullup_per1k,report_text_rebounding_per1k,report_text_shooting_per1k,report_text_strength_per1k,report_text_words,report_transition_fg_pct,report_transition_poss_pct,report_transition_poss_pg,report_transition_poss_total,report_transition_ppp,report_transition_turnover_pct,report_turnover_pct
Peb88f22502,2010,,,,,,,,,16.1,,,,,1.23,,,,,,,,,,,,,,,,36.5,,,,,0.965,,,,,,,,,,,1.021,,,,,,,15.1,,,1.4,0.979,,,,,,,,,,1.379,,,,6.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.3
P297adbbd5f,2010,,,,,,,,,,,,,,,,,,,,,9.9,,,,,,,,,24.0,,,,,,,,,,,,,,,,0.841,,,,,,,,,,,,,,,,,,,,3.1,,48.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P7f86ce09cc,2010,,,,,,,,,,,,,,,1.19,,,0.862,,,,,,,,,,12.9,30.0,,,,,,,,,,,,,,,,1.2,,,,,,,,,,,,0.67,,,,,,,0.433,,,,,,,,3.5,,1.056,10.92896174863388,1.8214936247723132,1.8214936247723132,5.46448087431694,1.8214936247723132,7.285974499089253,3.6429872495446265,0.0,5.46448087431694,0.0,1.8214936247723132,0.0,0.0,0.0,1.8214936247723132,0.0,12.750455373406194,5.46448087431694,549.0,,,4.2,,1.127,25.0,18.8
P10d0b75bed,2010,,,,,,,,,,,,2.1,,1.12,,,,1.26,,0.994,,,,,,,1.048,,,,,,,,,,,,,,,,,,1.16,1.012,,,,,,,12.1,,,,1.2,,28.6,,,,,,,,,,,,,,35.9,1.1,0.0,2.73224043715847,5.46448087431694,0.0,2.73224043715847,2.73224043715847,8.19672131147541,0.0,2.73224043715847,0.0,0.0,0.0,0.0,0.0,2.73224043715847,0.0,13.66120218579235,0.0,366.0,,,,,,,
P6f36cd1fed,2010,,,,,,,,,,,,,,1.26,,,,,18.1,0.98,,,45.4,,5.9,,,,,,,,,,,,,,,,,,,,,0.97,,,,,,,20.6,,,3.1,1.0,,42.0,4.6,,,,,,,,,,,8.4,,,,6.369426751592357,3.1847133757961785,9.554140127388536,3.1847133757961785,0.0,0.0,3.1847133757961785,0.0,3.1847133757961785,0.0,0.0,0.0,3.1847133757961785,0.0,3.1847133757961785,0.0,9.554140127388536,0.0,314.0,,,,,0.9,,12.2
P38bff88a77,2010,,,,,,,,,,2.3,,,,,,,,,,,,,,,,,0.672,,,,,,,,,,,,,,,,42.9,,,1.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,10.2,,,,0.0,0.0,0.0,0.0,0.0,8.849557522123893,0.0,8.849557522123893,8.849557522123893,0.0,8.849557522123893,0.0,0.0,0.0,0.0,17.699115044247787,26.548672566371682,0.0,113.0,,,,,,,
Pb46ac34cd7,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.07,,,,,2.9,,20.0,,,,,,,,,,,,,,,,,,,,,,0.0,8.547008547008547,0.0,0.0,0.0,0.0,8.547008547008547,0.0,0.0,0.0,0.0,0.0,0.0,8.547008547008547,0.0,0.0,8.547008547008547,0.0,117.0,,,,,,,
P1402e898dc,2010,,,,,,,,,,,,,,1.316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,14.705882352941176,0.0,0.0,0.0,0.0,14.705882352941176,0.0,14.705882352941176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.41176470588235,0.0,68.0,,,,,,,
Pdc16ca4e2e,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,0.972,,,,,,,,,,,,,,,,,,,1.066,,,,,,,,,,,,,42.0,,,,,,,,,,,,,,,,0.0,0.0,14.084507042253522,0.0,0.0,0.0,14.084507042253522,0.0,28.169014084507044,0.0,0.0,0.0,0.0,0.0,14.084507042253522,14.084507042253522,28.169014084507044,0.0,71.0,,,,,,,
P966e81614a,2010,,,,,,,,,,,,,,1.1,,,,,,,,,,,,,,,,28.2,,,,,0.592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.390243902439025,0.0,0.0,24.390243902439025,0.0,0.0,0.0,0.0,97.5609756097561,0.0,41.0,,,,,,,
Pcc98298533,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,12.1,,,,0.844,21.5,,,,,,,,,,,,,,,,,2.5188916876574305,0.0,2.5188916876574305,5.037783375314861,0.0,7.5566750629722925,2.5188916876574305,0.0,5.037783375314861,0.0,0.0,2.5188916876574305,2.5188916876574305,0.0,0.0,0.0,5.037783375314861,0.0,397.0,,,,,,,
