year,team_wiki,seed
2003,Alabama,10
2003,Arizona,1
2003,Arizona State,10
2003,Auburn,10
2003,Austin Peay,13
2003,BYU,12
2003,Butler,12
2003,California,8
2003,Central Michigan,11
2003,Cincinnati,8
2003,Colorado,10
2003,Colorado State,14
2003,Connecticut,5
2003,Creighton,6
2003,Dayton,4
2003,Duke,3
2003,East Tennessee State,15
2003,Florida,2
2003,Gonzaga,9
2003,Holy Cross,14
2003,IUPUI,16
2003,Illinois,4
2003,Indiana,7
2003,Kansas,2
2003,Kentucky,1
2003,LSU,8
2003,Louisville,4
2003,Manhattan,14
2003,Marquette,3
2003,Maryland,6
2003,Memphis,7
2003,Michigan State,7
2003,Milwaukee,12
2003,Mississippi St,5
2003,Missouri,6
2003,NC State,9
2003,Notre Dame,5
2003,Oklahoma,1
2003,Oklahoma State,6
2003,Oregon,8
2003,Pennsylvania,11
2003,Pittsburgh,2
2003,Purdue,9
2003,Saint Joseph's,7
2003,Sam Houston State,15
2003,San Diego,13
2003,South Carolina State,16
2003,Southern Illinois,11
2003,Stanford,4
2003,Syracuse,3
2003,Texas,1
2003,Texas Southern,16
2003,Troy State,14
2003,Tulsa,13
2003,UNC Asheville,16
2003,UNC Wilmington,11
2003,Utah,9
2003,Utah State,15
2003,Vermont,16
2003,Wagner,15
2003,Wake Forest,2
2003,Weber State,12
2003,Western Kentucky,13
2003,Wisconsin,5
2003,Xavier,3
2004,Air Force,11
2004,Alabama,8
2004,Alabama State,16
2004,Arizona,9
2004,BYU,12
2004,Boston College,6
2004,Central Florida,14
2004,Charlotte,9
2004,Cincinnati,4
2004,Connecticut,2
2004,Dayton,10
2004,DePaul,7
2004,Duke,1
2004,East Tennessee State,13
2004,Eastern Washington,15
2004,Florida,5
2004,Florida A&M,16
2004,Georgia Tech,3
2004,Gonzaga,2
2004,Illinois,5
2004,Kansas,4
2004,Kentucky,1
2004,Liberty,16
2004,Louisiana–Lafayette,14
2004,Louisville,10
2004,Manhattan,12
2004,Maryland,4
2004,Memphis,7
2004,Michigan State,7
2004,Mississippi State,2
2004,Monmouth,15
2004,Murray State,12
2004,NC State,3
2004,Nevada,10
2004,North Carolina,6
2004,Northern Iowa,14
2004,Oklahoma State,2
2004,Pacific,12
2004,Pittsburgh,3
2004,Princeton,14
2004,Providence,5
2004,Richmond,11
2004,Saint Joseph's,1
2004,Seton Hall,8
2004,South Carolina,10
2004,Southern Illinois,9
2004,Stanford,1
2004,Syracuse,5
2004,Texas,3
2004,Texas Tech,8
2004,UAB,9
2004,UIC,13
2004,UTEP,13
2004,UTSA,16
2004,Utah,11
2004,VCU,13
2004,Valparaiso,15
2004,Vanderbilt,6
2004,Vermont,15
2004,Wake Forest,4
2004,Washington,8
2004,Western Michigan,11
2004,Wisconsin,6
2004,Xavier,7
2004,{{cbb link,16
2005,Alabama,5
2005,Alabama A&M,16
2005,Arizona,3
2005,Boston College,4
2005,Bucknell,14
2005,Charlotte,7
2005,Cincinnati,7
2005,Connecticut,2
2005,Creighton,10
2005,Delaware State,16
2005,Duke,1
2005,Eastern Kentucky,15
2005,Fairleigh Dickinson,16
2005,Florida,4
2005,George Washington,12
2005,Georgia Tech,5
2005,Gonzaga,3
2005,Illinois,1
2005,Iowa,10
2005,Iowa State,9
2005,Kansas,3
2005,Kentucky,2
2005,LSU,6
2005,Louisiana-Lafayette,13
2005,Louisville,4
2005,Michigan State,5
2005,Minnesota,8
2005,Mississippi State,9
2005,Montana,16
2005,NC State,10
2005,Nevada,9
2005,New Mexico,12
2005,Niagara,14
2005,North Carolina,1
2005,Northern Iowa,11
2005,Oakland,16
2005,Ohio,13
2005,Oklahoma,3
2005,Oklahoma State,2
