pid,birth_src_wiki,cutoff_inferred,bio_height_cm,el2_games,el2_dnp,el2_start_games,el2_starts,el2_start_rate,el2_min,el2_min_share,el2_pts40,el2_oreb40,el2_dreb40,el2_ast40,el2_stl40,el2_blk40,el2_tov40,el2_pf40,el2_pir40,el2_ts,el2_efg,el2_3par,el2_ftr,el2_ftpct,el2_3ppct,el2_2ppct,el2_usage,el2_pm40,el2_seasons,el2_age_first,el2_age_last,el2_ls_games,el2_ls_dnp,el2_ls_start_games,el2_ls_starts,el2_ls_start_rate,el2_ls_min,el2_ls_min_share,el2_ls_pts40,el2_ls_oreb40,el2_ls_dreb40,el2_ls_ast40,el2_ls_stl40,el2_ls_blk40,el2_ls_tov40,el2_ls_pf40,el2_ls_pir40,el2_ls_ts,el2_ls_efg,el2_ls_3par,el2_ls_ftr,el2_ls_ftpct,el2_ls_3ppct,el2_ls_2ppct,el2_ls_usage,el2_ls_pm40,el2_trend_pts40,el2_trend_pir40,eu2_games,eu2_dnp,eu2_start_games,eu2_starts,eu2_start_rate,eu2_min,eu2_min_share,eu2_pts40,eu2_oreb40,eu2_dreb40,eu2_ast40,eu2_stl40,eu2_blk40,eu2_tov40,eu2_pf40,eu2_pir40,eu2_ts,eu2_efg,eu2_3par,eu2_ftr,eu2_ftpct,eu2_3ppct,eu2_2ppct,eu2_usage,eu2_pm40,eu2_seasons,yng_min_e,yng_min_u,yng_min_senior,yng_games_u20,yng_age_first_senior,yng_min_share_age18,yng_min_age18,yng_min_share_age19,yng_min_age19,angt_has,angt_tournaments,club_n_senior,club_n_all,club_midseason_moves,club_registrations,tier_best,tier_e,tier_u,intl_any,angt_games,angt_starts,angt_start_rate,angt_min,angt_min_share,angt_pts40,angt_oreb40,angt_dreb40,angt_ast40,angt_stl40,angt_blk40,angt_tov40,angt_pf40,angt_pir40,angt_ts,angt_efg,angt_3par,angt_ftr,angt_ftpct,angt_3ppct,angt_2ppct,angt_usage,angt_age_first,angt_rel_age
P027da49c30,1,0,204.0,0,0,0,,,0.0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0.0,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0,,,0.0,,0.0,1,4,0,1,0,4,-0.65,,,1,12.0,9.0,0.75,241.0,0.10041,24.565946,1.161903,6.307473,5.311556,3.319722,0.331972,3.817681,2.821764,27.055738,0.592759,0.56422,0.614679,0.330275,0.694444,0.373134,0.571429,27.101371,15.920602,0.022335
P049f342950,0,0,205.0,83,8,83,34.0,0.409639,1161.8,0.062971,17.627485,3.580583,4.269157,1.618148,1.446005,0.585288,2.444436,3.339582,18.763632,0.565072,0.519182,0.322251,0.360614,0.751773,0.285714,0.562264,22.025851,0.71549,5,21.004791,25.470226,16.0,0.0,16.0,12.0,0.75,338.8,0.105065,18.061942,3.895713,5.312336,2.951298,1.652727,0.708311,2.47909,2.47909,22.547914,0.538732,0.475,0.366667,0.416667,0.78,0.272727,0.513158,22.72016,-2.361038,8.535166,15.219625,0,0,0,,,0.0,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0,21.004791,,0.0,,0.0,0,0,2,2,0,5,1.61,1.61,,1,,,,,,,,,,,,,,,,,,,,,,,,
P05c9e8e43e,0,0,192.0,1,1,1,0.0,0.0,1.0,0.002458,0.0,0.0,0.0,0.0,0.0,0.0,40.69176,0.0,-40.69176,,,,,,,,46.923155,,1,21.615332,21.672827,1.0,1.0,1.0,0.0,0.0,1.0,0.002458,0.0,0.0,0.0,0.0,0.0,0.0,40.69176,0.0,-40.69176,,,,,,,,46.923155,,,,0,0,0,,,0.0,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0,21.615332,,0.0,,0.0,1,1,1,2,0,2,1.61,1.61,,1,3.0,3.0,1.0,103.5,0.1725,25.120773,0.386473,5.024155,6.183575,1.932367,0.0,3.864734,3.091787,27.439614,0.619756,0.52439,0.487805,0.634146,0.846154,0.45,0.380952,24.054427,17.1718,-0.364203
P063b0ea350,0,0,191.0,7,0,7,6.0,0.857143,165.2,0.112034,23.721634,2.662632,3.87292,2.178517,1.452345,0.0,3.630862,4.114977,14.039334,0.49455,0.476471,0.435294,0.376471,0.53125,0.405405,0.375,33.654919,,1,22.403833,22.554415,7.0,0.0,7.0,6.0,0.857143,165.2,0.112034,23.721634,2.662632,3.87292,2.178517,1.452345,0.0,3.630862,4.114977,14.039334,0.49455,0.476471,0.435294,0.376471,0.53125,0.405405,0.375,33.654919,,,,0,0,0,,,0.0,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0,22.403833,,0.0,,0.0,0,0,1,1,0,1,1.61,1.61,,1,,,,,,,,,,,,,,,,,,,,,,,,
P07109e12fd,0,0,196.0,0,0,0,,,0.0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0.0,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0,,,0.0,,0.0,1,1,0,1,0,1,-0.65,,,1,4.0,0.0,0.0,37.8,0.047188,20.13245,4.238411,0.0,3.178808,2.119205,0.0,5.298013,4.238411,11.655629,0.506397,0.470588,0.294118,0.235294,0.75,0.0,0.666667,27.042061,16.17796,-1.081052
P07954fea73,1,0,202.0,12,3,12,0.0,0.0,120.0,0.040016,15.327075,0.999592,1.999184,1.999184,2.998776,0.0,0.999592,5.331156,14.327483,0.647523,0.59375,0.625,0.25,1.0,0.5,0.333333,16.18711,-14.327483,1,17.36345,17.708419,12.0,3.0,12.0,0.0,0.0,120.0,0.040016,15.327075,0.999592,1.999184,1.999184,2.998776,0.0,0.999592,5.331156,14.327483,0.647523,0.59375,0.625,0.25,1.0,0.5,0.333333,16.18711,-14.327483,,,0,0,0,,,0.0,,,,,,,,,,,,,,,,,,,,0,120.0,0.0,120.0,12,17.36345,,0.0,,0.0,0,0,1,1,0,1,1.61,1.61,,1,,,,,,,,,,,,,,,,,,,,,,,,
P079efef655,0,0,209.0,49,0,46,10.0,0.217391,807.9,0.081816,13.46648,3.564656,6.18864,0.792146,1.980365,1.435764,2.871529,5.941094,15.892427,0.539683,0.53125,0.163462,0.480769,0.51,0.264706,0.557471,19.320368,,3,19.340178,21.527721,18.0,0.0,18.0,8.0,0.444444,387.8,0.106966,14.339136,3.197937,6.189555,1.031593,1.960026,1.237911,2.578981,4.539007,18.465506,0.573432,0.551546,0.164948,0.56701,0.581818,0.1875,0.604938,19.776531,,0.589157,1.114341,0,0,0,,,0.0,,,,,,,,,,,,,,,,,,,,0,122.2,0.0,122.2,9,19.340178,,0.0,0.067879,122.2,0,0,1,1,1,3,1.61,1.61,,1,,,,,,,,,,,,,,,,,,,,,,,,
P0820723beb,0,0,210.0,25,5,25,1.0,0.04,296.5,0.049212,13.76054,2.158516,4.586847,0.944351,1.888702,1.349073,1.349073,3.507589,17.268128,0.588371,0.530303,0.30303,0.712121,0.680851,0.4,0.5,16.328562,,2,20.479124,21.670089,10.0,0.0,10.0,0.0,0.0,99.8,0.049875,13.233083,2.406015,4.411028,0.401003,1.203008,1.203008,2.005013,3.20802,17.243108,0.612927,0.552632,0.315789,0.947368,0.666667,0.5,0.461538,16.529779,,-0.794872,-0.037705,0,0,0,,,0.0,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0,20.479124,,0.0,,0.0,0,0,1,1,0,2,1.61,1.61,,1,,,,,,,,,,,,,,,,,,,,,,,,
P0aa581f174,0,0,212.0,0,0,0,,,0.0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0.0,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0,,,0.0,,0.0,1,1,0,1,0,1,-0.65,,,1,4.0,4.0,1.0,91.8,0.111233,10.461277,5.666525,8.717731,1.743546,0.871773,3.051206,5.666525,3.922979,14.820142,0.395257,0.409091,0.045455,0.863636,0.315789,0.0,0.428571,20.07071,17.437372,0.3436
P0acc99bae4,0,0,196.0,44,1,44,32.0,0.727273,862.9,0.09561,15.622048,2.364168,3.476717,2.132386,1.437043,0.139069,1.946962,4.264773,14.694924,0.504431,0.462585,0.37415,0.309524,0.714286,0.290909,0.478261,21.427003,4.450198,2,23.304586,24.80219,22.0,0.0,22.0,19.0,0.863636,503.3,0.11439,18.994032,2.225242,2.463661,2.781553,1.271567,0.158946,2.066296,3.417336,17.404573,0.52147,0.482587,0.393035,0.318408,0.703125,0.35443,0.45082,24.88803,4.847849,8.09203,6.502571,0,0,0,,,0.0,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0,23.304586,,0.0,,0.0,0,0,1,1,0,2,1.61,1.61,,1,,,,,,,,,,,,,,,,,,,,,,,,
