pid,draft_year,vmb_age_reported_years,vmb_listed_height_in,vmb_listed_weight_lb,vmb_listed_bmi,vmb_college_class_year,vmb_position_pg,vmb_position_sg,vmb_position_sf,vmb_position_pf,vmb_position_c
P2224af8be2,2007,19.0,84.0,257.0,25.607834745927427,1.0,0.0,0.0,0.0,0.0,1.0
P5713a8b541,2007,18.0,82.0,215.0,22.480660265083177,1.0,0.0,0.0,1.0,1.0,0.0
Pba0c961d37,2007,21.0,82.0,246.0,25.722057791676566,3.0,0.0,0.0,0.0,1.0,1.0
Pea4d2012e7,2007,20.0,81.0,228.0,24.432230476715183,3.0,0.0,0.0,1.0,1.0,0.0
Pd35ff5934d,2007,19.0,82.0,200.0,20.912242107054116,1.0,0.0,0.0,0.0,1.0,0.0
P12dc2a4dac,2007,19.0,85.0,244.0,23.743803104768844,1.0,0.0,0.0,0.0,0.0,1.0
P4a79922b86,2007,21.0,80.0,185.0,20.32310503644445,3.0,0.0,0.0,1.0,0.0,0.0
Pad16010a79,2007,22.0,84.0,223.0,22.2200278145596,3.0,0.0,0.0,0.0,1.0,1.0
P23d9f5804f,2007,22.0,84.0,230.0,22.917517476900034,,0.0,0.0,0.0,1.0,1.0
P49b077589e,2007,22.0,76.0,186.0,22.64039851331088,4.0,1.0,0.0,0.0,0.0,0.0
Pd84423f7e2,2007,23.0,79.0,221.0,24.896391139281246,4.0,0.0,0.0,1.0,1.0,0.0
Pdd125f24cc,2007,22.0,79.0,206.0,23.20659083571012,3.0,0.0,1.0,1.0,0.0,0.0
P2f5200d27c,2007,19.0,77.0,194.0,23.00480662000285,1.0,1.0,0.0,0.0,0.0,0.0
P243742fc34,2007,21.0,77.0,207.0,24.546365826497887,2.0,1.0,1.0,0.0,0.0,0.0
P25a045baff,2007,20.0,81.0,211.0,22.61052908152151,2.0,0.0,0.0,1.0,1.0,0.0
Pd6f3aa739f,2007,21.0,84.0,233.0,23.21644161790308,3.0,0.0,0.0,0.0,1.0,1.0
P6950e00d3b,2007,22.0,84.0,245.0,24.412138181915257,,0.0,0.0,0.0,1.0,1.0
P67d2056db6,2007,20.0,82.0,240.0,25.09469052846494,2.0,0.0,0.0,0.0,1.0,1.0
P8bc7e2260e,2007,19.0,80.0,210.0,23.06947058190991,1.0,0.0,0.0,1.0,1.0,0.0
P42adf8ab25,2007,22.0,78.0,172.0,19.876391797819757,,0.0,1.0,0.0,0.0,0.0
Pd9ad951135,2007,22.0,78.0,215.0,24.8454897472747,4.0,0.0,1.0,1.0,0.0,0.0
Pb70d7d0b57,2007,20.0,78.0,203.0,23.458764738124483,1.0,0.0,1.0,0.0,0.0,0.0
Pc544b8efa0,2007,21.0,77.0,192.0,22.76764366515746,,0.0,1.0,0.0,0.0,0.0
P61624e71c6,2007,20.0,82.0,230.0,24.04907842311224,3.0,0.0,0.0,0.0,0.0,1.0
P7703cc27be,2007,22.0,83.0,225.0,22.96278929000012,4.0,0.0,0.0,0.0,1.0,1.0
Pcd53db286a,2007,23.0,79.0,215.0,24.220471017852795,4.0,0.0,1.0,1.0,0.0,0.0
P41fad117db,2007,21.0,79.0,219.0,24.67108443213843,4.0,0.0,0.0,1.0,1.0,0.0
Pf5e2b9f7f1,2007,21.0,73.0,173.0,22.824364285527228,3.0,1.0,0.0,0.0,0.0,0.0
P6525188e53,2007,21.0,80.0,310.0,34.054932763771774,3.0,0.0,0.0,0.0,0.0,1.0
P8e68185705,2007,20.0,85.0,270.0,26.2738804847852,,0.0,0.0,0.0,0.0,1.0
P971be31864,2007,21.0,76.0,170.0,20.692837350875536,3.0,1.0,0.0,0.0,0.0,0.0
P40c501f5d6,2007,20.0,79.0,205.0,23.093937482138713,2.0,0.0,1.0,1.0,0.0,0.0
P6a22b03d03,2007,23.0,77.0,205.0,24.3092028716525,4.0,0.0,0.0,1.0,0.0,0.0
P0f110bb83f,2007,21.0,80.0,220.0,24.1680168000961,3.0,0.0,0.0,1.0,1.0,0.0
Pac5bd0e496,2007,22.0,80.0,211.0,23.17932520372853,4.0,0.0,0.0,1.0,0.0,0.0
