pid,comp_name,capture_ts
Pfb151947b8,Rasheed Wallace,20000620001309
Pb9c8134dba,Shawn Kemp,20000605005406
P70be92ee2a,Tracy McGrady,20000619111237
Pe4182c4c9a,Lamar Odom,20000620093319
Pdaa5dc2ffe,Scottie Pippen,20000616232524
P0a16bf5dcd,Brad Daugherty,20000619022444
Pf596e595fa,Steve Francis,20000617094719
P2225ba1e79,Kevin Garnett (gulp!),20000619184708
Pa1cb69e2d5,Antonio Davis,20000604125718
Pbd1bd31363,Allan Houston,20000619101258
P180bfe573f,Paul Pierce,20000510084257
P8df0a8788c,Dennis Rodman,20000619151105
P497243f189,Darvin Ham,20000619044234
P3f83cdea39,Kevin Garnett,20010625105832
Pc7c312fdc1,Rasheed Wallace,20010624001520
Pff73e1eace,Toni Kukoc,20010604074652
Pe88af25410,Shaquille O'Neal,20010625105604
P1d7e465328,Bobby Jones,20010602125206
Peca9b04dbf,Tim Duncan,20010614032132
Pac419c235c,Jamal Mashburn,20010614031749
P704a5fd478,Penny Hardaway,20010614031636
P0d7e76d154,Jerome Kersey,20010617105511
Pdcd864f0fb,Tim Thomas,20010614031449
P842a2f3c2e,Dan Issel,20010602134756
P3a25271b04,Tom Gugliotta,20010602140025
P75d87cd190,Marc Jackson,20010602140227
Paf6a9c1c9e,Elton Brand,20010602135926
P2ee25c689c,Michael Olowokandi,20010410002951
P1bd862cc0f,Hersey Hawkins,20010614033002
Pd4900db84d,Jason Williams,20010617154243
P4da2c7e178,Vince Carter,20001213131400
Pfcc31e3705,Kelvin Cato,20010602121027
P3ebb78aaf3,Mark Jackson,20010602135937
P07655923d4,Joe Dumars,20010602124720
Pc0571f7238,Jason Kidd,20010614024645
Paeace7e70c,Chris Morris,20010602133052
P5303425662,Roshown McLeod,20010602121831
P0fee52cfc4,Joe Barry Carroll,20010602134655
Pe0f44d3916,Theo Ratliff,20010602124701
P9aa7ef7a41,Dean Garrett,20010602134606
Pd06a43915a,Arvydas Sabonis,20011020025447
Pe929ebb536,Stephon Marbury,20020608002753
P1199724869,Larry Bird,20020207200456
P979bc77e15,Jermaine O'Neal,20020608001154
Pa08cb88c9e,Allen Iverson,20020607235330
P3d9db1cda1,Antonio McDyess,20020407143843
P6031807405,Shawn Kemp,20011021153328
P91e42fff83,Danny Manning (pre-injury),20010803115748
P7662bd9a71,Nazr Mohammed,20020608012534
Pb7f87f6748,Marcus Camby,20020608010537
P33f4d69488,Peja Stojakovic,20020609072811
P5656ae84e7,Eddie House,20020608003844
P792efcc523,Zydrunas Ilgauskas,20020607234705
P71d533551f,Allan Houston,20020407232543
P4c416f9cab,Tracy McGrady,20020608203043
P0459b830f2,Trajan Langdon,20020607232819
Pd2dc1d3e0e,Donyell Marshall,20020608210210
Pb74259d44e,Terry Porter,20020608002023
P42dd9e15a4,Jason Terry (better shooting version),20011214024244
P2abf5d1b69,Maurice Taylor,20020609053415
P71645345d7,Samuel Dalembert,20020608002901
Pd72acae20f,Gary Trent,20020610075730
Pd51bbef7c1,Andre Miller,20020608010839
Pb3ff680bd6,Jalen Rose,20020207203124
Pbc5a0470c9,Magic Johnson,20030401111138
Pae0e6be256,Scottie Pippen,20030207114540
Peab571b95d,Tim Duncan/Kevin Garnett,20030604041108
P7feaaeffcb,Sam Cassell,20030604032430
Pc5cf3e8f14,"Fred Jones (more height, less skills)",20030601092211
P3c6c730bf2,John Stockton,20030604034056
Pace4fe8116,Jim Jackson,20030604041247
P37455198a4,"Derrick Coleman (Less ability, More heart)",20030604041530
P38d9dee28f,Bruce Bowen,20030416195219
P53313a94c2,Jiri Welsch,20030608163603
P5e60e1df8d,Darius Miles,20030604042722
Pc441e97a64,Stacey King,20030604035705
Pd8afdd28b5,Gilbert Arenas,20030604034544
P82d1799627,James Posey,20030604033210
P624e80554f,Brian Scalabrine,20030605105029
P554dd6632a,Mike Bibby,20030416150948
P78473875c4,Mike Bibby,20030416150948
P42e64d32a8,Keith Van Horn,20030604041336
P269736d407,Kwame Brown,20040624100939
Pfb5ad97400,"Ben Wallace (more offense, less nastiness)",20040624101440
P6292223fd6,Reggie Miller,20040624113549
P8abebd0da5,Grant Hill,20040624130040
Pcdb1e8afaa,Brad Miller,20040622154958
Pff029e3151,Paul Pierce,20040624043516
P977a8945dd,Brent Barry,20040624123710
Pcca6045f01,Tom Gugliotta,20040623223042
P25c05d7b38,Vince Carter (with heart),20040624114521
P0b1f22f2d4,Tim Hardaway,20040624110843
P0ad01302af,Cuttino Mobley,20040624073051
P3dd4b68d3d,Benoit Benjamin,20040624071332
P079efef655,Drew Gooden,20040624040444
P8eebd87e26,Terry Teagle,20040624041608
Pb3e080e381,Howard Eisley,20040624064716
Pfa91aaf1ef,Steve Nash,20040609235342
P6ce52469e7,A taller version of his brother Brevin Knight,20040609142425
Pd6e783f74c,Darrell Armstrong,20040603223904
P80665441e6,Donnell Harvey,20040604213958
P630cc033c0,Antonio Davis,20040624104513
P099a8d0c1c,Vlade Divac,20050625011833
P5afd5b991d,Andre Miller,20050626005844
P5e4491e5c3,Iaiah Thomas,20050626001833
Pf804162018,Glen Rice,20050627012034
P572a4194e6,Lamar Odom,20050627005522
P42d0d6de9a,Jarron Collins,20050626000022
Pcb4360a784,Malik Rose,20050625033040
P8a3b7b6860,Zach Randolph,20050625013646
P9f246cdbe1,Cuttino Mobley,20050621081042
Pc295aab61a,Caron Butler,20050627234518
P471bec0288,Eddie Griffin (smaller version),20050627010632
Pdd972253d5,Marcus Camby,20050625030632
Pa4dad52ff4,Eric Snow,20050624233454
P6f59c256f3,Eddie House,20050626014704
P3e3a854ff5,Emeka Okafor,20050416011047
P13a7a5112c,Nick Van Exel,20050616030857
P19de9513b3,Ray Allen,20050624002742
P74b9613d69,Dale Ellis,20050616023044
P01bc9a886e,Chris Wilcox,20050626003835
P6b0e9b0b2a,Nenad Krstic,20050626025632
P63a21fbef6,Steven Hunter,20050625010130
Pd650e439a2,Byron Russell,20050610000711
Pbe0a02c2fd,Chris Mullin,20050405203631
P8b388e1924,Rod Strickland,20050612014844
P6c71d953b6,Rip Hamilton,20050622050949
Pc378586c43,Keyon Dooling,20050407161926
P485a20a47a,Cliff Robinson,20050610003019
P27f732ca1a,Channing Frye,20060612224017
P49164b4255,Larry Bird,20060615211435
Pd31d743729,Shawn Marion,20060615211411
P91b09695de,Antonio Davis,20060612223939
Pa1953f4a95,Jalen Rose,20060615211225
Pf919ba1bb3,Chauncey Billups,20060615211213
P4634e39421,Scottie Pippen,20060615210344
P4b8155700b,Brad Daugherty,20060615211750
P05061c84a0,Samuel Dalembert,20060615211523
P14d000eef5,Drazen Petrovic,20060615210456
P4dc7399d2c,Ervin Johnson,20060615211828
P40fd812f54,Reece Gaines,20060615211816
P058ee51b71,Marquis Daniels,20060615211547
P54e5c21a96,Nene,20060615211626
P78afb3722d,Richard Jefferson,20060615211536
Pd47bfc21b1,Walt Williams,20060615211803
Pe5c2b5692d,Steve Kerr,20060615211400
P74ff916074,Dennis Rodman,20060615022413
P8b41334856,Mookie Blalock,20060615211259
P842513fba1,Brian Grant,20060615211148
P574724b2cd,Tim Hardaway,20060615022254
P570dcb4282,Fred Jones,20060615211559
P6f3dd59527,Luke Ridnour,20060615211459
Pdb7c6b10a9,Derek Anderson,20060615211347
P1bf2734620,Aaron McKie,20060615211511
P51a666d7f5,Vince Carter,20060623201707
P7781579610,Kyle Korver,20060615211311
Pad940d555c,Carlos Rogers,20060614002032
Pce8689cb8f,Chris Mihm,20060615211201
P641f1ca8a3,Mario Elie,20060615210519
P82e987418b,Corliss Williamson,20060615214557
Pe4baee43bf,Bruce Bowen,20060613215858
Pa760c9001c,Zydrunas Ilgauskas,20060614103108
P2650c293bf,Andrew DeClerq,20060616033433
P9a20aba619,Derek Fisher,20060615211447
Pa24efaf8fd,Othella Harrington,20060613170510
P156589bd1a,Fat Lever,20060615210443
P117ae491b1,Malik Rose,20060616001627
Pec84345bbc,Larry Johnson,20060615210508
P4bb660105c,Chris Anderson,20060612223118
P20979c9b9c,Bobby Jackson,20060615211650
Pac436e0a75,Ruben Patterson,20060615211335
P5551ba72f6,Kenny Thomas,20060615211702
Pd1e1adb03d,Keon Clark (less athletic),20060615022216
P4c433fbf72,Bo Outlaw (needs a lot of skill development),20060614002508
P85ac223123,Kenny Anderson,20060615162609
P15657a7054,Kenyon Martin,20060614164431
Pbdc6b072d0,Bobby Jackson (less athletic),20060614002138
P87e51fede0,Tommy Smith,20060614002454
P2224af8be2,David Robinson/Bill Russell,20070624050219
P5713a8b541,Dirk Nowitzki/Tracy McGrady,20070525131203
Pba0c961d37,Horace Grant/Carlos Boozer,20070624050659
Pbcd324b348,TJ Ford,20070618160459
Pea4d2012e7,John Salmons/Lamar Odom,20070619055127
P23d9f5804f,Pau Gasol,20070623162132
P4a79922b86,Stacey Augmon,20070621071001
Pd35ff5934d,Chris Bosh,20070615033815
Pad16010a79,Tyson Chandler (higher basketball IQ),20070621001116
P12dc2a4dac,Brad Miller,20070601201147
P49b077589e,Chauncey Billups,20070613180708
P8bc7e2260e,Paul Pierce,20070506084505
P25a045baff,Boris Diaw,20070607004247
Pd84423f7e2,Al Harrington,20070605220218
P243742fc34,Dajuan Wagner,20070608025455
Pdd125f24cc,Josh Howard,20070605220355
P61624e71c6,Theo Ratliff,20070607004158
Pc544b8efa0,Ray Allen,20070605220318
Pd6f3aa739f,Brian Cook,20070609091727
Pb70d7d0b57,Larry Hughes,20070625004733
P41fad117db,Ademola Okulaja,20070509143459
P42adf8ab25,Manu Ginobili,20070624102141
Pd9ad951135,Michael Redd,20070509140310
P168e9ad8d4,Earl Boykins,20070509142415
P1311f2955b,Raja Bell,20070608025229
P6a22b03d03,Josh Howard,20070509143027
P971be31864,Devin Harris,20070618025155
P7703cc27be,Rick Rickert,20070509144137
P6525188e53,Rodney Rogers,20070609123930
Pf6d18cb839,Chris Anderson,20070509143621
P67d2056db6,Chris Webber (less athletic),20070608025125
Pcd53db286a,Brandon Roy/Shane Battier,20070607133334
Pcfbeb8a341,Keon Clark (smaller),20070509143216
P0f110bb83f,Trevor Ariza,20070509143105
P93e1b535ab,Todd MacCulloch,20070509142915
Pd1415c96b7,Matt Geiger,20070609123412
Pac5bd0e496,Rasual Butler,20070509143724
Pcb5c1e8ac6,John Salley,20070509144410
Pa610141ccc,Kendall Gill (less athletic),20070613180742
P49a2cdbcb5,Rod Strickland,20070624051234
P2d45174d7f,Dwyane Wade/Jason Kidd,20080624035443
P722aa856f7,Carmelo Anthony,20080516225454
P552ea773e2,Ben Gordon,20080509065602
P67ee7c4408,Rajon Rondo/Monta Ellis,20080621094934
Pdfe2a49906,Wes Unseld,20080625031246
Peda84f3898,Detlef Schrempf,20080621094924
Pd43d378f42,Mitch Richmond,20080516095942
P2e38e474e2,Shawn Marion/Tom Gugliotta,20080625031241
P376f10f64c,Jameer Nelson/Travis Best,20080621210112
Pab86c7dfaf,Brad Daugherty,20080625031226
P5f07dfebd6,Gilbert Arenas/Jay Williams,20080516074731
P4e0fbd7a78,Jason Smith,20080624034423
Pf1e6555cfc,Reggie Lewis,20080622100032
P7c81e9aca5,Lamar Odom/Tayshaun Prince,20080624035415
P7e5e28e6b3,Andris Biedrins/Anderson Varejao,20080621210123
Pdb3f441dab,Juwan Howard,20080622022049
P4afc5fb3f7,Joel Przybilla,20080622022116
Pfcb4575061,Andrew Bynum/Patrick O’Bryant,20080622022044
Pffe825f9b7,Chris Wilcox,20080624034827
P3d1eff1bca,Jonathan Bender/Mikki Moore,20080626030600
P969f2b1c13,Austin Croshere,20080616053018
Pd19bde5a19,Bobby Phills,20080626030610
Pc3a5f10000,Mehmet Okur,20080624034842
P0157d20b94,Shawn Kemp,20080616052752
Pda7ff44e77,Rudy Gay,20080625101545
P4b0ccf34e0,Antonio McDyess,20080621170054
Pab534e249b,Rashard Lewis/Marvin Williams,20080622022039
P9f5758481a,Wayne Simien,20080616034136
Pe67238da8c,Tyrone Hill,20080624035543
Pad8df3794d,Bo Outlaw/Ben Wallace,20080621210117
P51f87bc5f4,Keyon Dooling,20080624035154
P7c1c1e7eac,Dwight Howard,20080621094929
P82dd1ca59f,Mickael Gelabale/Mardy Collins,20080616032151
P8482acfde2,Maurice Evans,20080616054125
P2fe87c73a6,Julius Hodge,20080622022031
P6dfb5df5c6,Charles Oakley,20080624035200
P1ca581fef0,Tyus Edney,20080624034934
P4b06d66b80,Tony Parker (bigger & less quick),20080616052344
Pf14243ec5e,Ruben Patterson,20080624035054
P79f9e777a1,Ron Mercer (less athletic),20080616054115
P951f092ec6,Chris Richard,20080616054554
P2bc925c307,Charlie Bell/Fred Jones,20080616054103
P267f5baf8e,Boris Diaw,20080619053458
P103e95dd1f,Joe Smith,20080514194016
P2528efc939,Speedy Claxton,20080607015444
Pc06b79b843,Bo Outlaw,20080616054416
P8ff779ec76,Andrew DeClerq,20080619230345
Pb00deeb55d,Tony Delk,20080625031231
P6e6a2db0d6,James Jones,20080611160533
P4b40cf78ae,Cedric Ceballos,20080626030615
P16bd14d8e6,Fred Jones/Antonio Daniels,20080616032445
Pd2241d6e4b,Lonny Baxter/Carlos Boozer,20080624034913
Pb36450dd54,Bo Outlaw,20080624035553
Pb48635a7c4,Greg Foster,20080616051220
P146ec7320a,Karl Malone/Antonio McDyess,20090528153649
P26f8dd510c,Dikembe Mutombo,20090528072135
P2acc089d0e,Manu Ginobili/Brandon Roy,20090528070438
Pe2d0a4cddd,Jamal Crawford/Larry Hughes,20090528152817
P22c8154970,Walt Frazier/Steve Nash,20090528173730
P1738f63a26,Damon Stoudamire,20090523031427
P7b8c6b66e0,Mahmoud Abdul-Rauf/Steve Kerr,20090531035420
P3391f209f3,Chris Bosh,20090624104348
Pad8e6fd6b0,Vince Carter,20090531153728
P52f9046b71,Kenny Anderson,20090622043724
P4417860ddd,JR Rider/Corey Maggette,20090522015540
Pef77516e2b,Latrell Sprewell/ Dahntay Jones,20090523031422
P4c4f563b8c,Eduardo Najera/Mark Madsen,20090620060731
Pc430805a15,Marvin Williams/Boris Diaw,20090528072058
P7ef2b1cf05,Brian Cook/Marcus Williams,20090622055913
P60425a0c89,Andres Nocioni,20090531165557
Pab257f8a15,Flip Murray/Delonte West,20090612114728
P20418f8d52,Terrell Brandon,20090622052733
P0086aec335,Kevin Johnson,20090531135511
Pe79f6d1bdb,Mark Jackson/Eric Snow,20090621204754
P8afd917a6c,Darrell Armstrong,20090624135855
P2d06a24aee,Jorge Garbajosa/Antawn Jamison,20090518185242
P7d7c4d5568,Andres Nocioni/Hedo Turkoglu,20090531154224
Pcb72b419f2,Chris Kaman,20090612114447
P57a6e7dc53,Rajon Rondo Nico Van den Bogaerd - 4/25/2008,20090620085729
P38fd19ed26,Vin Baker,20090423112024
P6fd4123c4d,Francisco Garcia,20090531123508
Pc99e2f6730,Charlie Bell/Ben Gordon,20090620093101
P4f7ec9f72f,Udonis Haslem/ Mikki Moore,20090523013811
P3326a2a68b,George Lynch,20090623120819
P977d8b209e,Caron Butler/Wilson Chandler,20090621204820
